"Lower Frequency";"Upper Frequency";"RR Region 1 Allocation and RR footnotes applicable to CEPT";"RR Region 1 frequency range footnotes";"European Common Allocation and ECA footnotes";"ECA frequency range footnotes";"ECC/ERC harmonisation measure";"Applications";"Standard";"Notes"
"116 GHz";"119.98 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562C), SPACE RESEARCH (PASSIVE)";"5.341";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562C)";"5.341";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
"119.98 GHz";"120.02 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562C), SPACE RESEARCH (PASSIVE)";"5.341";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562C)";"5.341";"";"Passive sensors (satellite)";"";"Passive sensing as part of the oxygen absorption band with peak at 118.75 GHz"
"119.98 GHz";"120.02 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562C), SPACE RESEARCH (PASSIVE)";"5.341";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562C)";"5.341";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
"120.02 GHz";"122.25 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562C), SPACE RESEARCH (PASSIVE)";"5.138";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562C), SPACE RESEARCH (PASSIVE)";"5.138";"ERC/REC 70-03";"Non-specific SRDs";"EN 305 550";"Within the band 122-123 GHz"
"120.02 GHz";"122.25 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562C), SPACE RESEARCH (PASSIVE)";"5.138";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562C), SPACE RESEARCH (PASSIVE)";"5.138";"";"Passive sensors (satellite)";"";"Passive sensing as part of the oxygen absorption band with peak at 118.75 GHz"
"120.02 GHz";"122.25 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562C), SPACE RESEARCH (PASSIVE)";"5.138";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562C), SPACE RESEARCH (PASSIVE)";"5.138";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
"122.25 GHz";"123 GHz";"FIXED, INTER-SATELLITE, MOBILE(5.558), Amateur";"5.138";"FIXED, INTER-SATELLITE, MOBILE(5.558), Amateur, Amateur-Satellite";"5.138";"";"Amateur";"";""
"122.25 GHz";"123 GHz";"FIXED, INTER-SATELLITE, MOBILE(5.558), Amateur";"5.138";"FIXED, INTER-SATELLITE, MOBILE(5.558), Amateur, Amateur-Satellite";"5.138";"";"Amateur-satellite";"";""
"122.25 GHz";"123 GHz";"FIXED, INTER-SATELLITE, MOBILE(5.558), Amateur";"5.138";"FIXED, INTER-SATELLITE, MOBILE(5.558), Amateur, Amateur-Satellite";"5.138";"ERC/REC 70-03";"Non-specific SRDs";"EN 305 550";"Within the band 122-123 GHz"
"122.25 GHz";"123 GHz";"FIXED, INTER-SATELLITE, MOBILE(5.558), Amateur";"5.138";"FIXED, INTER-SATELLITE, MOBILE(5.558), Amateur, Amateur-Satellite";"5.138";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
